Number,Symbol,Name,Industry,Market Cap
1,A,Agilent Technologies,Life Sciences Tools & Services,40206139279
2,AA,Alcoa,Metals & Mining,16712230838
3,AAC,Ares Acquisition,Blank Check / SPAC,1470000000
4,AACG,ATA Creativity Global,Diversified Consumer Services,45182736
5,AACI,Armada Acquisition I,Blank Check / SPAC,203367270
6,AADI,Aadi Bioscience,Biotechnology,360828027
7,AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,106056214
8,AAL,American Airlines Group,Airlines,11840677871
9,AAMC,Altisource Asset Management,Real Estate Management & Development,29003937
10,AAME,Atlantic American,Insurance,64192590
11,AAN,The Aaron's Company,Specialty Retail,643490229
12,AAOI,Applied Optoelectronics,Communications Equipment,91052142
13,AAON,"AAON, Inc.",Building Products,2952146660
14,AAP,Advance Auto Parts,Specialty Retail,12676530048
15,AAPL,Apple,"Technology Hardware, Storage & Periph...",2.84953E+12
16,AAQC,Accelerate Acquisition,Blank Check / SPAC,487500000
17,AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2969265917
18,AATC,Autoscope Technologies,Scientific & Technical Instruments,33779234
19,AAU,Almaden Minerals,Metals & Mining,49681440
20,AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2401822697
21,AB,AllianceBernstein Holding,Capital Markets,4748165602
22,ABB,ABB Ltd,Electrical Equipment,63542636522
23,ABBV,AbbVie,Biotechnology,2.90246E+11
24,ABC,AmerisourceBergen,Health Care Providers & Services,32734121831
25,ABCB,Ameris Bancorp,Banks,2995409888
26,ABCL,AbCellera Biologics,Biotechnology,2869393399
27,ABCM,Abcam,Biotechnology,4285288687
28,ABEO,Abeona Therapeutics,Biotechnology,47313627
29,ABEV,Ambev,Beverages,51780980733
30,ABG,Asbury Automotive Group,Specialty Retail,3660520824
31,ABGI,ABG Acquisition I,Blank Check / SPAC,189652806
32,ABIO,ARCA biopharma,Biotechnology,31702217
33,ABM,ABM Industries,Commercial Services & Supplies,3101389043
34,ABMD,Abiomed,Health Care Equipment & Supplies,15413606306
35,ABNB,Airbnb,"Hotels, Restaurants & Leisure",1.11262E+11
36,ABOS,Acumen Pharmaceuticals,Biotechnology,162297933
37,ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2755267061
38,ABSI,Absci,Biotechnology,818255231
39,ABST,Absolute Software,Software-Application,435997753
40,ABT,Abbott Laboratories,Health Care Equipment & Supplies,2.09113E+11
41,ABTX,Allegiance Bancshares,Banks,892898048
42,ABUS,Arbutus Biopharma,Biotechnology,457817341
43,ABVC,ABVC BioPharma,Biotechnology,77531471
44,AC,Associated Capital Group,Capital Markets,903429470
45,ACA,Arcosa,Construction & Engineering,2802148084
46,ACAB,Atlantic Coastal Acquisition II,Blank Check / SPAC,297600000
47,ACAD,ACADIA Pharmaceuticals,Biotechnology,4120374265
48,ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,421762490
49,ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,320457790
50,ACAX,Alset Capital Acquisition,Blank Check / SPAC,106938720
51,ACB,Aurora Cannabis,Pharmaceuticals,848353342
52,ACBA,Ace Global Business Acquisition,Blank Check / SPAC,61750799
53,ACC,American Campus Communities,Equity Real Estate Investment Trusts ...,15898069960
54,ACCD,Accolade,Health Care Technology,1264174592
55,ACCO,ACCO Brands,Commercial Services & Supplies,770644411
56,ACDI,Ascendant Digital Acquisition III,Blank Check / SPAC,375375000
57,ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1205408503
58,ACER,Acer Therapeutics,Pharmaceuticals,41785784
59,ACET,Adicet Bio,Health Care Providers & Services,829842430
60,ACEV,ACE Convergence Acquisition,Blank Check / SPAC,140220615
61,ACGL,Arch Capital Group,Insurance,18405392379
62,ACH,Aluminum Corporation of China,Metals & Mining,14290403324
63,ACHC,Acadia Healthcare Company,Health Care Providers & Services,6039616494
64,ACHL,Achilles Therapeutics,Biotechnology,116181558
65,ACHR,Archer Aviation,Aerospace & Defense,1116074235
66,ACHV,Achieve Life Sciences,Biotechnology,71429342
67,ACI,Albertsons Companies,Grocery Stores,16939213810
68,ACII,Atlas Crest Investment II,Blank Check / SPAC,422625019
69,ACIU,AC Immune,Biotechnology,349777022
70,ACIW,ACI Worldwide,Software,3457673200
71,ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,156110500
72,ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2374207946
73,ACLX,Arcellx,Biotechnology,513892308
74,ACM,AECOM,Construction & Engineering,10968217576
75,ACMR,ACM Research,Semiconductors & Semiconductor Equipment,1220542454
76,ACN,Accenture,IT Services,2.15935E+11
77,ACNB,ACNB Corporation,Banks,300821383
78,ACOR,Acorda Therapeutics,Biotechnology,21332983
79,ACQR,Independence Holdings,Blank Check / SPAC,605438714
80,ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trust...,119748838
81,ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trust...,742803570
82,ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,418096855
83,ACRS,Aclaris Therapeutics,Pharmaceuticals,1035547449
84,ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,41145715
85,ACST,Acasti Pharma,Pharmaceuticals,54630381
86,ACT,Enact Holdings,Insurance-Specialty,3629725934
87,ACTD,ArcLight Clean Transition II,Blank Check / SPAC,386620246
88,ACTG,Acacia Research,Professional Services,232586015
89,ACU,Acme United,Commercial Services & Supplies,120175100
90,ACVA,ACV Auctions,Software-Application,2367444989
91,ACXP,Acurx Pharmaceuticals,Biotechnology,34895212
92,ADAG,Adagene,Biotechnology,159054958
93,ADAL,Anthemis Digital Acquisitions I,Blank Check / SPAC,300365625
94,ADAP,Adaptimmune Therapeutics,Biotechnology,333839166
95,ADBE,Adobe,Software,2.16495E+11
96,ADC,Agree Realty,Equity Real Estate Investment Trusts ...,4840354300
97,ADCT,ADC Therapeutics,Communications Equipment,1139099640
98,ADER,26 Capital Acquisition,Blank Check / SPAC,339453115
99,ADES,Advanced Emissions Solutions,Chemicals,115118510
100,ADEX,Adit EdTech Acquisition,Blank Check / SPAC,340860000
101,ADGI,Adagio Therapeutics,Biotechnology,502859039
102,ADI,Analog Devices,Semiconductors & Semiconductor Equipment,86535372699
103,ADIL,Adial Pharmaceuticals,Pharmaceuticals,48149567
104,ADM,Archer-Daniels-Midland Company,Food Products,51281121265
105,ADMA,ADMA Biologics,Biotechnology,372248000
106,ADMP,Adamis Pharmaceuticals,Pharmaceuticals,84731023
107,ADN,Advent Technologies Holdings,Utilities-Renewable,112757917
108,ADNT,Adient,Auto Components,3722424034
109,ADOC,Edoc Acquisition,Blank Check / SPAC,55539213
110,ADP,Automatic Data Processing,IT Services,98080505632
111,ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,2085532275
112,ADRA,Adara Acquisition,Blank Check / SPAC,141593759
113,ADRT,Ault Disruptive Technologies,Blank Check / SPAC,143318750
114,ADS,Alliance Data Systems,IT Services,2837052136
115,ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,425116791
116,ADSK,Autodesk,Software,46863044511
117,ADT,ADT Inc.,Commercial Services & Supplies,7051603966
118,ADTH,AdTheorent Holding Company,Advertising Agencies,829144509
119,ADTN,ADTRAN,Communications Equipment,907392319
120,ADTX,Aditx,Biotechnology,19492000
121,ADUS,Addus HomeCare,Health Care Providers & Services,1448920160
122,ADV,Advantage Solutions,Advertising Agencies,2032767483
123,ADVM,Adverum Biotechnologies,Biotechnology,128375911
124,ADXN,Addex Therapeutics,Biotechnology,32215419
125,ADXS,Advaxis,Biotechnology,17476560
126,AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",165061807
127,AEAC,Authentic Equity Acquisition,Blank Check / SPAC,294300000
128,AEAE,AltEnergy Acquisition,Blank Check / SPAC,285200000
129,AEE,Ameren,Multi-Utilities,24464541627
130,AEG,Aegon,Insurance,11115602939
131,AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,133374125
132,AEHL,Antelope Enterprise Holdings,Building Products & Equipment,7952163
133,AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,266270656
134,AEI,Alset EHome International,Real Estate-Development,50364455
135,AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3189860306
136,AEL,American Equity Investment Life Holding Company,Insurance,3840157930
137,AEM,Agnico Eagle Mines,Metals & Mining,28846251976
138,AEMD,Aethlon Medical,Health Care Equipment & Supplies,22033726
139,AENZ,Aenza,Engineering & Construction,311124255
140,AEO,American Eagle Outfitters,Specialty Retail,2709913843
141,AEP,American Electric Power Company,Electric Utilities,51216568304
142,AER,AerCap Holdings,Trading Companies & Distributors,12392447954
143,AERC,AeroClean Technologies,Pollution & Treatment Controls,63559408
144,AERI,Aerie Pharmaceuticals,Pharmaceuticals,438914523
145,AES,The AES Corporation,Independent Power and Renewable Elect...,17499097083
146,AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",70846839
147,AEVA,Aeva Technologies,Auto Parts,887735356
148,AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",18371029
149,AEYE,AudioEye,Software,78232500
150,AEZS,AEterna Zentaris,Biotechnology,44741367
151,AFAC,Arena Fortify Acquisition,Blank Check / SPAC,215840614
152,AFAQ,AF Acquisition,Blank Check / SPAC,273280000
153,AFBI,Affinity Bancshares,Banks,105182026
154,AFCG,AFC Gamma,REIT-Specialty,383209689
155,AFG,American Financial Group,Insurance,12588650387
156,AFI,Armstrong Flooring,Building Products,31798216
157,AFIB,Acutus Medical,Medical Devices,36762827
158,AFL,Aflac,Insurance,42105020406
159,AFMD,Affimed,Biotechnology,561847934
160,AFRM,Affirm Holdings,IT Services,13258541049
161,AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,302500000
